problem_slug,submission_id,student_code,code,score,testcase_results,labels
Array_list_7,1290686,2110501,"int maxSum(int* nums, int n, int k) {
int Max[n];
for(int i=0;i<n;i++)
{
    int j=i;
    int cur=0; 
    int curMax=nums[i];
    while(j>=0 && i-j+1 <=k)
    {
        curMax = max(curMax,nums[j]);
        int x = (curMax*(i-j+1));
        if(j!=0)    x += Max[j-1];
        cur =max(cur,x);
        j--;
    }
    Max[i]=cur;
}
return Max[n-1];
}",1.0,11111,0
Array_list_7,1333910,2210997,"int maxSum(int* nums, int n, int k) {
    int* dp = new int[n]; 

    for (int i = 0; i < n; i++) {
        int maxElement = nums[i];
        dp[i] = maxElement * 1;

        for (int j = 1; j <= k && i - j + 1 >= 0; ++j) {
            maxElement = std::max(maxElement, nums[i - j + 1]);
            dp[i] = max(dp[i], maxElement * j + (i - j >= 0 ? dp[i - j] : 0));
        }
    }

    int result = dp[n - 1];
    delete[] dp; 

    return result;
}",1.0,11111,0
Array_list_7,1354631, ,"int findMax(int a, int b){
    if(a >= b) return a;
    else return b;
}

int maxSum(int* nums, int n, int k) {
    // vector<int> dp(n + 1, 0);
    // vector<int> a(n + 1);
    int dp[n + 1];
    int a[n + 1];
    for(int i = 0; i <= n; i++) dp[i] = 0;
    for(int i = 1; i <= n; i++){
        a[i] = nums[i-1];
    }
    for(int i = 1; i <= n; i++){
        for(int t = 1; t <= k; t++){
            for(int j = i - t + 1; j <= i; j++){
                if(j < 1) continue;
                int end = j + t - 1;
                if(end > n) continue;
                dp[end] = findMax(dp[end], t * a[i] + dp[j-1]);
                // if(end == i){
                //     dp[i] = findMax(dp[i], t * a[i] + dp[j-1]);
                // }
                // else{
                //     dp[end] = findMax(dp[end], t * a[i] + dp[j-1]);
                // }
            }
        }
    }
    return dp[n];
}",1.0,11111,1
Array_list_7,1355749,2212372,"int solve(int**dp, int* nums, int i, int n, int tempMax, int a, int& k)
{
    
    if(i >= n)
    {
        if(a == 1)
            return 0;
        return tempMax*(a-1);
    }
   
      if(dp[i][a] != -1)
        return dp[i][a];
    int choose = -10;
    if(a + 1 <= k)
        choose = solve(dp, nums, i+1, n, max(tempMax, nums[i]), a+1, k);
    int notchoose = max(tempMax, nums[i])*a + solve(dp, nums, i+1, n, -10, 1, k);
    return dp[i][a] = max(choose, notchoose);
}
int maxSum(int* nums, int n, int k) {
    int**dp = new int*[n+1];
    for(int i = 0; i <= n; i++)
    {
        dp[i] = new int[k+1];
        for(int x = 0; x <= k; x++)
            dp[i][x] = -1;

    }
    
return solve(dp, nums, 0, n, -10, 1, k);


}",1.0,11111,2
Array_list_7,1360890,2213298,"int max(int a, int b) { return (a > b) ? a : b; }

int maxSum(int* nums, int n, int k) {
    int dp[10005] = {0};
    for (int i = 0; i < n; i++) {
        int maxElement = nums[i];
        for (int j = 1; j <= k && i - j + 1 >= 0; j++) {
            maxElement = max(maxElement, nums[i - j + 1]);
            dp[i] = max(dp[i], ((i >= j) ? dp[i - j] : 0) + maxElement * j);
        }
    }
    return dp[n - 1];
}",1.0,11111,0
Array_list_7,1361294,2213250,"int max_array(int* nums , int l , int r){
    int ans = (int)(-1e9);
    for(int i= l ; i<=r ; i++){
        ans = max(ans,nums[i]);
    }
    return ans;
}

int maxSum(int* nums, int n, int k) {
    int dp[10001];
    for(int i=0 ; i<k ; i++){
        dp[i] = max_array(nums,0,i)*(i+1);
    }
    for(int i = k ; i<n;i++){
        for(int j = 1 ; j<=k;j++){
            dp[i] = max(dp[i], max_array(nums,i-j+1, i)*j + dp[i-j]);
        }
    }
    return dp[n-1];
}",0.6,11010,0
Array_list_7,1371132,2213250,"int max_array(int* nums, int l, int r)
{
	int ans = -1e9;
	for (int i = l; i <= r; i++)
	{
		ans = max(ans, nums[i]);
	}
	return ans;
}




int maxSum(int* nums, int n, int k) 
{
	int dp[10000];
	for (int i = 0; i < k; i++)
	{
		dp[i] = max_array(nums, 0, i) * (i + 1);
	}
	for (int i = k; i < n; i++)
	{
		for (int j = k; j >= 0; j--)
		{
			dp[i] = max(dp[i], dp[i - j] + max_array(nums, i - j + 1, i) * j);
		}
	}
	return dp[n - 1];
}",0.6,11010,0
Array_list_7,1374306,2211821,"int maxSum(int* nums, int n, int k) {
     if(n<=0) return 0;
      if (n <= k) {
        int max = 0;
        for (int i = 0; i < n; i++) {
            if (max < nums[i]) max = nums[i];
        }
        return max * n;
    }
    
    int dp[k] = {0};
    for (int i = 1; i <= k; i++) {
        int max = 0;
        for (int j = 0; j < i; j++) {
            if (max < nums[j]) max = nums[j];
        }
        dp[i - 1] = max * i + maxSum(nums + i, n - i, k);
    }
    
    int maxMuti = dp[0];
    for (int i = 1; i < k; i++) {
        if (maxMuti < dp[i]) maxMuti = dp[i];
    }
    
    return maxMuti;
}",0.8,11110,3
Array_list_7,1374982,2210034,"#include<vector>
#include <algorithm>
using namespace std;
int maxSum(int* nums, int n, int k) {
    vector<int> dp(n+1, 0);
    for (int i = 1; i <= n; ++i) {
        int max_val = nums[i-1];
        for (int j = i; j > 0 && i-j+1 <= k; --j) {
            max_val = max(max_val, nums[j-1]);
            dp[i] = max(dp[i], dp[j-1] + max_val * (i-j+1));
        }
    }
    return dp[n];
}",1.0,11111,0
Array_list_7,1375151,2213836,"int maxSum(int* nums, int n, int k) {
    int* maxS = new int[n + 1]; //* tạo 1 mảng để lưu giá trị
    maxS[0] = 0;
    
    for(int i = 1; i <= n; i++) { //* duyệt tới n
        maxS[i] = 0;
        int maxElement = 0;
        for(int j = 1; j <= k && (i - j) >= 0; j++) { //* mảng con có j phần tử
            maxElement = max(maxElement, nums[i - j]);
            maxS[i] = max(maxS[i], maxS[i - j] + maxElement * j); //* i - j là vị trí đang xét trong nums
        }
    }

    int result = maxS[n];
    delete[] maxS;
    return result;
}",1.0,11111,0
