problem_slug,submission_id,student_code,code,labels,score
Queue_5,1454635,2210458,"int dx[] = {1, -1, 0, 0};
int dy[] = {0, 0, 1, -1};

int secondsToBeRotten(vector<vector<int>>& grid) {
    int sec = 0;
    int freshApple = 0;
    int n = grid.size();
    int m = grid[0].size();
    vector<vector<int>> vis(n, vector<int>(m, 0));
    
    queue<pair<int, int>> q;
    for(int i = 0; i < n; i++) {
        for(int j = 0; j < m; j++) {
            if(grid[i][j] == 1) freshApple++;
            else if(grid[i][j] == 2) q.push({i, j});
        }
    }
    
    while(!q.empty()) {
        int rottenApple = q.size();
        while(rottenApple--) {
            int x = q.front().first;
            int y = q.front().second;
            q.pop();
            vis[x][y] = 1;
            
            
            for(int i = 0; i < 4; i++) {
                int u = x + dx[i];
                int v = y + dy[i];
                
                if(u < 0 || v < 0 || u >= n || v >= m) continue;
                if(vis[u][v]) continue;
                if(grid[u][v] == 0 || grid[u][v] == 2) continue;
                
                freshApple--;
                grid[u][v] = 2;
                q.push({u, v});
            }
            
        }
        if(!q.empty()) sec++;
    }
    if(freshApple > 0) return -1;
    return sec;
}",0,1.0
Queue_5,1454688,2110501,"// iostream, vector and queue are included
// Hint: use breadth-first-search

int secondsToBeRotten(vector<vector<int>>& grid) {
    int n = grid.size();
    int m = grid[0].size();
    
    // Define the four possible directions to move: up, down, left, and right
    vector<int> dx = {1, -1, 0, 0};
    vector<int> dy = {0, 0, 1, -1};

    // Create a queue for BFS
    queue<pair<int, int>> q;

    // Initialize the time and count of fresh apples
    int time = 0;
    int freshApples = 0;

    // Initialize the queue with rotten apples and count fresh apples
    for (int i = 0; i < n; i++) {
        for (int j = 0; j < m; j++) {
            if (grid[i][j] == 1) {
                freshApples++;
            }
            else if (grid[i][j] == 2) {
                q.push({i, j});
            }
        }
    }

    while (!q.empty() && freshApples > 0) {
        int size = q.size();
        for (int i = 0; i < size; i++) {
            int x = q.front().first;
            int y = q.front().second;
            q.pop();

            for (int k = 0; k < 4; k++) {
                int nx = x + dx[k];
                int ny = y + dy[k];

                if (nx >= 0 && ny >= 0 && nx < n && ny < m && grid[nx][ny] == 1) {
                    grid[nx][ny] = 2;
                    freshApples--;
                    q.push({nx, ny});
                }
            }
        }
        time++;
    }

    return freshApples == 0 ? time : -1;
}",0,1.0
Queue_5,1455292,2211876,"// iostream, vector and queue are included
// Hint: use breadth-first-search

int secondsToBeRotten(vector<vector<int>>& grid) {
    int rows = grid.size();
    int cols = grid[0].size();
    int freshApples = 0;
    int rottenApples = 0;

    std::queue<std::pair<int, int>> q;  
    std::vector<std::pair<int, int>> directions = {{-1, 0}, {1, 0}, {0, -1}, {0, 1}};  // 4 possible directions.

   
    for (int i = 0; i < rows; i++) {
        for (int j = 0; j < cols; j++) {
            if (grid[i][j] == 2) {
                q.push({i, j});
            } else if (grid[i][j] == 1) {
                freshApples++;
            }
        }
    }

    int time = 0;

    while (!q.empty()) {
        int size = q.size();  
        bool rottenThisRound = false;

        for (int i = 0; i < size; i++) {
            int x = q.front().first;
            int y = q.front().second;
            q.pop();

            for (const auto& dir : directions) {
                int newX = x + dir.first;
                int newY = y + dir.second;

                if (newX >= 0 && newX < rows && newY >= 0 && newY < cols && grid[newX][newY] == 1) {
                    grid[newX][newY] = 2;  
                    q.push({newX, newY});
                    rottenApples++;
                    rottenThisRound = true;
                }
            }
        }

        if (rottenThisRound) {
            time++;
        }
    }

    
    if (rottenApples == freshApples) {
        return time;
    } else {
        return -1;
    }
}",0,1.0
Queue_5,1455293,2213298,"// iostream, vector and queue are included
// Hint: use breadth-first-search

int secondsToBeRotten(vector<vector<int>>& grid) {
    int rows = grid.size();
    int cols = grid[0].size();
    queue<pair<int, int>> rotten;
    int fresh = 0;
    int time = 0;
    for (int i = 0; i < rows; ++i) {
        for (int j = 0; j < cols; ++j) {
            if (grid[i][j] == 2) {
                rotten.push({i, j});
            } else if (grid[i][j] == 1) {
                fresh++;
            }
        }
    }
    vector<pair<int, int>> directions = {{-1, 0}, {1, 0}, {0, -1}, {0, 1}};
    while (!rotten.empty() && fresh > 0) {
        int size = rotten.size();
        for (int i = 0; i < size; ++i) {
            pair<int, int> pos = rotten.front();
            rotten.pop();

            for (pair<int, int>& dir : directions) {
                int x = pos.first + dir.first;
                int y = pos.second + dir.second;
                if (x < 0 || y < 0 || x >= rows || y >= cols || grid[x][y] != 1) continue;
                grid[x][y] = 2;
                rotten.push({x, y});
                fresh--;
            }
        }
        time++;
    }

    return fresh == 0 ? time : -1;
}",0,1.0
Queue_5,1455294,2210578,"// iostream, vector and queue are included
// Hint: use breadth-first-search

int secondsToBeRotten(vector<vector<int>>& grid) {
    int n = grid.size();
    int m = grid[0].size();
    queue<pair<int, int>> q;
    int freshApples = 0;
    for(int i = 0; i < n; i++) {
        for(int j = 0; j < m; j++) {
            if(grid[i][j] == 2) {
                q.push({i, j});
            } else if(grid[i][j] == 1) {
                freshApples++;
            }
        }
    }
    int time = 0;
    vector<pair<int, int>> directions = {{0, 1}, {1, 0}, {0, -1}, {-1, 0}};
    while(!q.empty() && freshApples) {
        time++;
        int sz = q.size();
        while(sz--) {
            pair<int, int> cur = q.front();
            q.pop();
            for(pair<int, int>& dir : directions) {
                int x = cur.first + dir.first;
                int y = cur.second + dir.second;
                if(x < 0 || y < 0 || x >= n || y >= m || grid[x][y] != 1) continue;
                grid[x][y] = 2;
                q.push({x, y});
                freshApples--;
            }
        }
    }
    return freshApples ? -1 : time;

}",0,1.0
Queue_5,1455295,2112585,"// iostream, vector and queue are included
// Hint: use breadth-first-search

int secondsToBeRotten(vector<vector<int>>& grid) {
    int n = grid.size();
    int m = grid[0].size();
    int freshApples = 0;
    queue<pair<int, int>> rottenQueue;

    // Count the number of fresh apples and add rotten apples to the queue
    for (int i = 0; i < n; i++) {
        for (int j = 0; j < m; j++) {
            if (grid[i][j] == 1) {
                freshApples++;
            } else if (grid[i][j] == 2) {
                rottenQueue.push({i, j});
            }
        }
    }

    int seconds = 0;
    vector<pair<int, int>> directions = {{-1, 0}, {1, 0}, {0, -1}, {0, 1}};

    while (!rottenQueue.empty()) {
        int size = rottenQueue.size();

        for (int i = 0; i < size; i++) {
            int x = rottenQueue.front().first;
            int y = rottenQueue.front().second;
            rottenQueue.pop();

            for (auto dir : directions) {
                int nx = x + dir.first;
                int ny = y + dir.second;

                if (nx >= 0 && nx < n && ny >= 0 && ny < m && grid[nx][ny] == 1) {
                    grid[nx][ny] = 2;
                    freshApples--;
                    rottenQueue.push({nx, ny});
                }
            }
        }

        if (!rottenQueue.empty()) {
            seconds++;
        }
    }

    return freshApples == 0 ? seconds : -1;
}",0,1.0
Queue_5,1455299,2213035,"int secondsToBeRotten(vector<vector<int>> &grid)
{
    int rows = grid.size();
    int colums = grid[0].size();
    int seconds = 0;
    queue<pair<int, int>> rotten;
    for (int i = 0; i < rows; i++)
    {
        for (int j = 0; j < colums; j++)
        {
            if (grid[i][j] == 2)
            {
                rotten.push({i, j});
            }
        }
    }

    while (!rotten.empty())
    {
        int size = rotten.size();
        for (int i = 0; i < size; i++)
        {
            pair<int, int> current = rotten.front();
            rotten.pop();

            int x = current.first;
            int y = current.second;

            if (x + 1 < rows && grid[x + 1][y] == 1)
            {
                grid[x + 1][y] = 2;
                rotten.push({x + 1, y});
            }
            if (x - 1 >= 0 && grid[x - 1][y] == 1)
            {
                grid[x - 1][y] = 2;
                rotten.push({x - 1, y});
            }
            if (y + 1 < colums && grid[x][y + 1] == 1)
            {
                grid[x][y + 1] = 2;
                rotten.push({x, y + 1});
            }
            if (y - 1 >= 0 && grid[x][y - 1] == 1)
            {
                grid[x][y - 1] = 2;
                rotten.push({x, y - 1});
            }
        }
        if (!rotten.empty())
        {
            seconds++;
        }
    }

    for (int i = 0; i < rows; i++)
    {
        for (int j = 0; j < colums; j++)
        {
            if (grid[i][j] == 1)
            {
                return -1;
            }
        }
    }

    return seconds;
}",1,1.0
Queue_5,1455300,2211667,"// iostream, vector and queue are included
// Hint: use breadth-first-search

int secondsToBeRotten(vector<vector<int>>& grid) {
    int n = grid.size();
    int m = grid[0].size();
    queue<pair<int, int>> q;
    int freshApples = 0;
    for(int i = 0; i < n; i++) {
        for(int j = 0; j < m; j++) {
            if(grid[i][j] == 2) {
                q.push({i, j});
            } else if(grid[i][j] == 1) {
                freshApples++;
            }
        }
    }
    int time = 0;
    vector<vector<int>> dirs = {{0, 1}, {0, -1}, {1, 0}, {-1, 0}};
    while(!q.empty() && freshApples) {
        int sz = q.size();
        while(sz--) {
            pair<int, int> cur = q.front(); 
            q.pop();
            for(auto& dir : dirs) {
                int x = cur.first + dir[0];
                int y = cur.second + dir[1];
                if(x < 0 || y < 0 || x >= n || y >= m || grid[x][y] != 1)
                    continue;
                grid[x][y] = 2;
                q.push({x, y});
                freshApples--;
            }
        }
        time++;
    }
    return freshApples ? -1 : time;
}",0,1.0
Queue_5,1455301,2212282,"int secondsToBeRotten(vector<vector<int>>& grid) {
    int rows = grid.size();
    int cols = grid[0].size();
    
    queue<pair<int, int>> rottenApples;
    int freshApplesCount = 0;
    
    // Find initial rotten apples and count fresh apples
    for (int i = 0; i < rows; i++) {
        for (int j = 0; j < cols; j++) {
            if (grid[i][j] == 2) {
                rottenApples.push({i, j});
            } else if (grid[i][j] == 1) {
                freshApplesCount++;
            }
        }
    }
    
    int seconds = 0;
    int rottenCount = 0;
    vector<pair<int, int>> directions = {{-1, 0}, {1, 0}, {0, -1}, {0, 1}};
    
    // Perform BFS to rot fresh apples
    while (!rottenApples.empty() && freshApplesCount > 0) {
        int size = rottenApples.size();
        rottenCount += size;
        
        while (size--) {
            int x = rottenApples.front().first;
            int y = rottenApples.front().second;
            rottenApples.pop();
            
            for (auto& dir : directions) {
                int newX = x + dir.first;
                int newY = y + dir.second;
                
                if (newX >= 0 && newX < rows && newY >= 0 && newY < cols && grid[newX][newY] == 1) {
                    grid[newX][newY] = 2;
                    rottenApples.push({newX, newY});
                    freshApplesCount--;
                }
            }
        }
        
        seconds++;
    }
    
    return freshApplesCount == 0 ? seconds : -1;
}",0,1.0
Queue_5,1455312,2212372,"int secondsToBeRotten(vector<vector<int>>& grid) {
    int m = grid.size();
    int n = grid[0].size();

    queue<vector<int>> q;
    int beforeRotten = 0;

    for (int i=0; i<m; i++) {
        for (int j=0; j<n; j++) {
            if (grid[i][j] == 1) {
                beforeRotten += 1;
            }
            else if (grid[i][j] == 2) {
                vector<int> info = {i, j, 0};
                q.push(info);
            }
        }
    }

    int dRow[4] = {0, -1, 0, 1};
    int dCol[4] = {-1, 0, 1, 0};
    int afterRotten = 0;
    int sec = 0;

    while (!q.empty()) {
        vector<int> orange = q.front();
        q.pop();
        int nthSec = orange[2];
        sec = (sec>nthSec)?sec:nthSec;

        for (int i=0; i<4; i++) {
            int row = orange[0] + dRow[i];
            int col = orange[1] + dCol[i];

            if (row >= 0 && row < m && col >= 0 && col < n) {
                if (grid[row][col] == 1) {
                    afterRotten += 1;
                    grid[row][col] = 2;
                    vector<int> info = {row, col, nthSec + 1};
                    q.push(info);
                }
            }
        }
    }

    return beforeRotten == afterRotten ? sec : -1;
}",0,1.0
