problem_slug,submission_id,student_code,code,labels,score
Recursion_17,1311629,2211821,"string findLargestSubsequence(string str1, string str2) {
    int len1 = str1.length();
    int len2 = str2.length();

    // Base case: Nếu một trong hai chuỗi là rỗng, trả về chuỗi rỗng
    if (len1 == 0 || len2 == 0) {
        return """";
    }

    // Nếu ký tự cuối cùng của cả hai chuỗi giống nhau
    if (str1[len1 - 1] == str2[len2 - 1]) {
        // Gọp ký tự cuối cùng vào subsequence và tiếp tục đệ quy với hai chuỗi bỏ ký tự cuối
        return findLargestSubsequence(str1.substr(0, len1 - 1), str2.substr(0, len2 - 1)) + str1[len1 - 1];
    }
    else {
        // Nếu ký tự cuối của cả hai chuỗi không giống nhau, so sánh hai trường hợp:
        // 1. Xóa ký tự cuối của str1 và tìm subsequence chung
        // 2. Xóa ký tự cuối của str2 và tìm subsequence chung
        string subsequence1 = findLargestSubsequence(str1.substr(0, len1 - 1), str2);
        string subsequence2 = findLargestSubsequence(str1, str2.substr(0, len2 - 1));

        // Trả về subsequence có độ dài lớn hơn giữa hai trường hợp trên
        if (subsequence1.length() > subsequence2.length()) {
            return subsequence1;
        }
        else {
            return subsequence2;
        }
    }
}



int superString(string x, string y, int m, int n) {
    string k = findLargestSubsequence(x,y);
    int f= k.length();
    return m+n-f;
}",0,1.0
Recursion_17,1337403,2213250,"int longestSubSeq(string x , string y , int m , int n){
    if(m==0 || n==0) return 0;
    if(x[m-1]==y[n-1]) return 1 + longestSubSeq(x,y,m-1,n-1);
    else return max(longestSubSeq(x,y,m-1,n),longestSubSeq(x,y,m,n-1));
}

int superString(string x, string y, int m, int n) {
    return m+n-longestSubSeq(x,y,m,n);
}",1,1.0
Recursion_17,1341365,2211821,"string findLargestSubsequence(string str1, string str2) {
    int len1 = str1.length();
    int len2 = str2.length();

    // Base case: Nếu một trong hai chuỗi là rỗng, trả về chuỗi rỗng
    if (len1 == 0 || len2 == 0) {
        return """";
    }

    // Nếu ký tự cuối cùng của cả hai chuỗi giống nhau
    if (str1[len1 - 1] == str2[len2 - 1]) {
        // Gọp ký tự cuối cùng vào subsequence và tiếp tục đệ quy với hai chuỗi bỏ ký tự cuối
        return findLargestSubsequence(str1.substr(0, len1 - 1), str2.substr(0, len2 - 1)) + str1[len1 - 1];
    }
    else {
        // Nếu ký tự cuối của cả hai chuỗi không giống nhau, so sánh hai trường hợp:
        // 1. Xóa ký tự cuối của str1 và tìm subsequence chung
        // 2. Xóa ký tự cuối của str2 và tìm subsequence chung
        string subsequence1 = findLargestSubsequence(str1.substr(0, len1 - 1), str2);
        string subsequence2 = findLargestSubsequence(str1, str2.substr(0, len2 - 1));

        // Trả về subsequence có độ dài lớn hơn giữa hai trường hợp trên
        if (subsequence1.length() > subsequence2.length()) {
            return subsequence1;
        }
        else {
            return subsequence2;
        }
    }
}



int superString(string x, string y, int m, int n) {
    string k = findLargestSubsequence(x,y);
    int f= k.length();
    return m+n-f;
}",0,1.0
Recursion_17,1349965,2211878,"int superString(string x, string y, int m, int n) {
    if (m == 0) {
        return n;
    }
    if (n == 0) {
        return m;
    }
    if (x[m - 1] == y[n - 1]) {
        return 1 + superString(x, y, m - 1, n - 1);
    } else {
        return 1 + min(superString(x, y, m - 1, n), superString(x, y, m, n - 1));
    }
}",2,1.0
Recursion_17,1353741,2211170,"int superString(const string& x, const string& y, int m, int n) {
    // Base cases
    if (m == 0) return n;
    if (n == 0) return m;

    // If the last characters of x and y are the same, ignore them and recursively find the super string
    if (x[m - 1] == y[n - 1])
        return 1 + superString(x, y, m - 1, n - 1);

    // If the last characters of x and y are different, consider both possibilities:
    // 1. Ignore the last character of x and find the super string of the remaining x and y
    // 2. Ignore the last character of y and find the super string of x and the remaining y
    return 1 + min(superString(x, y, m - 1, n), superString(x, y, m, n - 1));
}",2,1.0
Recursion_17,1355904,2213298,"int max(int x, int y) {
    return (x>y) ? x : y;
}

int lcs(string X, string Y, int m, int n)
{
    if (m == 0 || n == 0) return 0;
    if (X[m - 1] == Y[n - 1]) return lcs(X, Y, m - 1, n - 1) + 1;
    else return max(lcs(X, Y, m, n - 1), lcs(X, Y, m - 1, n));
}

int superString(string X, string Y, int m, int n)
{
    int lcs_length = lcs(X, Y, m, n);
    return m + n - lcs_length;
}",1,1.0
Recursion_17,1366413,2210055,"int superString(string x, string y, int m, int n) {
    if (m == 0)
        return n;
    if (n == 0)
        return m;
    if (x[m - 1] == y[n - 1])
        return 1 + superString(x, y, m - 1, n - 1);
    return 1 + min(superString(x, y, m - 1, n), superString(x, y, m, n - 1));
}",2,1.0
Recursion_17,1366859,2210200,"int findMin(int a, int b){
    if(a <= b) return a;
    else return b;
}

int superString(string x, string y, int m, int n){
    if(m == 0) return n;
    if(n == 0) return m;
    if(x[m - 1] == y[n - 1]) return 1 + superString(x, y, m - 1, n - 1);
    else return 1 + findMin(superString(x, y, m, n - 1), superString(x, y, m - 1, n));
}",2,1.0
Recursion_17,1367267,2210997,"int superString(string x, string y, int m, int n) {
    if (m == 0) return n;
    if (n == 0) return m;
    if (x[m - 1] == y[n - 1])    return 1 + superString(x, y, m - 1, n - 1);
    return 1 + min(superString(x, y, m - 1, n), superString(x, y, m, n - 1));
}",2,1.0
Recursion_17,1373400,2210535,"int superString(string x, string y, int m, int n) {

    if (m == 0) return n;
    if (n == 0) return m;


    if (x[m - 1] == y[n - 1]) {
        return superString(x, y, m - 1, n - 1) + 1;
    } else {

        return min(
            superString(x, y, m - 1, n) + 1,
            superString(x, y, m, n - 1) + 1
        );
    }
}",2,1.0
