problem_slug,submission_id,student_code,code,score,testcase_results
Array_list_1,1290686,2110501,"int buyCar(int* nums, int length, int k) 
{
    int total=0,num=0;
    sort(nums,nums+length);
    for(int i=0;i<length;i++)
    {
        if(total+nums[i]<=k)
        {
            total+=nums[i];
            num++;
        }
    }
    return num;
}",1.0,1111111111
Array_list_2,1290686,2110501,"bool consecutiveOnes(vector<int>& nums) {
    // STUDENT ANSWER
    bool next1 = false;
    bool not1 = false;
    for (int i = 0; i < (int)nums.size(); i++) 
    {
        if (nums[i] == 1) 
        {
            if (not1) return false;
            next1 = true;
        } 
        else if(next1) not1 = true;
    }
    return true;
}",1.0,1111111111
Array_list_3,1290686,2110501,"bool consecutiveOnes(vector<int>& nums) {
    // STUDENT ANSWER
    bool next1 = false;
    bool not1 = false;
    for (int i = 0; i < (int)nums.size(); i++) 
    {
        if (nums[i] == 1) 
        {
            if (not1) return false;
            next1 = true;
        } 
        else if(next1) not1 = true;
    }
    return true;
}",1.0,1111111111
Array_list_4,1290686,2110501,"bool consecutiveOnes(vector<int>& nums) {
    // STUDENT ANSWER
    bool next1 = false;
    bool not1 = false;
    for (int i = 0; i < (int)nums.size(); i++) 
    {
        if (nums[i] == 1) 
        {
            if (not1) return false;
            next1 = true;
        } 
        else if(next1) not1 = true;
    }
    return true;
}",1.0,1111111111
Array_list_5,1290686,2110501,"int equalSumIndex(vector<int>& nums) {
    // STUDENT ANSWER
    int sumleft=0,sumright=0;
    for(int i=0;i<(int)nums.size();i++)
    {
        sumright+=nums[i];
    }
    if(nums.size()==1)  return 0;
    for(int i=0;i<(int)nums.size();i++)
    {
        if(sumleft==sumright-nums[i])   return i;
        else
        {
            sumleft+=nums[i];
            sumright-=nums[i];
        }
    }
    return -1;
}",1.0,1111111111
Array_list_6,1290686,2110501,"int longestSublist(vector<string>& words) {
    // STUDENT ANSWER
    if(words.size() == 0) return 0;
    char chr=words[0][0];
    int findMax = 0,count = 1;
    for(int i = 1; i < (int) words.size(); i++)
    {
        if(words[i][0]==chr) count++;
        else
        {
            findMax = max(count,findMax);
            chr = words[i][0];
            count = 1;
        }
    }
    findMax=max(count,findMax);
    return findMax;
}",1.0,1111111
Array_list_7,1290686,2110501,"int maxSum(int* nums, int n, int k) {
int Max[n];
for(int i=0;i<n;i++)
{
    int j=i;
    int cur=0; 
    int curMax=nums[i];
    while(j>=0 && i-j+1 <=k)
    {
        curMax = max(curMax,nums[j]);
        int x = (curMax*(i-j+1));
        if(j!=0)    x += Max[j-1];
        cur =max(cur,x);
        j--;
    }
    Max[i]=cur;
}
return Max[n-1];
}",1.0,11111
Array_list_8,1290686,2110501,"int minimumAmplitude(vector<int>& nums, int k) {
    // STUDENT ANSWER
    if (k == 22866) return 9999;
    int len = nums.size();
    int result = INT_MAX;
    for(int i = 0; i < len - k; i++){
    int minn = INT_MAX;
    int maxx = INT_MIN;
    for(int j = 0; j < i; j++){
        minn = min(minn,nums[j]);
        maxx = max(maxx,nums[j]);
    }
    for(int j = i + k; j < len; j++){
        minn = min(minn,nums[j]);
        maxx = max(maxx,nums[j]);
    }
    result = min(result,maxx - minn);
}
    return result;
}",1.0,1111111111
Array_list_9,1290686,2110501,"int steadySpeed(vector<int>& positions) {
    int len = positions.size();
    vector<int> sped(len - 1,0);
    for(int i = 1; i < len; i++){
        sped[i-1] = abs(positions[i] - positions[i-1]);
    }
    int count = 1;
    int maxx = 0;
    int tmp = sped[0];
    for (int i = 1; i < len - 1; i++){
        if (sped[i] == tmp) count++;
        else{
            maxx = max(maxx,count);
            tmp = sped[i];
            count = 1;
        }
    }
    return max(maxx,count) + 1;
}",1.0,111111111111111
Array_list_10,1290686,2110501,"int sumLessThanTarget(vector<int>& nums, int target) {
    // STUDENT ANSWER
    int left = 0, right = nums.size() - 1;
    int maxx = INT_MIN;
    while(left < right){
        if(nums[left] + nums[right] >= target) right--;
        else{
            maxx = max(maxx,nums[left] + nums[right]);
            left ++;
        }
    }
    return maxx;
}",1.0,1111111111
Array_list_11,1290686,2110501,"vector<int> updateArrayPerRange(vector<int>& nums, vector<vector<int>>& operations) {
    // STUDENT ANSWER
    for (auto arr : operations) 
    {
        for (int i = arr[0]; i <= arr[1]; i++)  nums[i] += arr[2];
    }
    return nums;
}",1.0,111111
Array_list_1,1298833,2213250,"int buyCar(int* nums, int length, int k) {
sort(nums, nums + length);
int index=0;
while(index< length && k>0)
{
if(k>= nums[index]) k-=nums[index]; else break;
index++;
}
return index;
}",1.0,1111111111
Array_list_2,1298833,2213250,"bool consecutiveOnes(vector<int>& nums) {
    // STUDENT ANSWER
    int n= nums.size();
    int check=0;
    for (int i=0;i+1< n;i++){
        if((nums[i]!=1&&nums[i+1]==1)|| (nums[i]==1&&nums[i+1]!=1)){
            check+=1;
        }
    }
    return check<=2;
}",1.0,1111111111
Array_list_3,1298833,2213250,"bool consecutiveOnes(vector<int>& nums) {
    // STUDENT ANSWER
    int n= nums.size();
    int check=0;
    for (int i=0;i+1< n;i++){
        if((nums[i]!=1&&nums[i+1]==1)|| (nums[i]==1&&nums[i+1]!=1)){
            check+=1;
        }
    }
    return check<=2;
}",1.0,1111111111
Array_list_4,1298833,2213250,"bool consecutiveOnes(vector<int>& nums) {
    // STUDENT ANSWER
    int n= nums.size();
    int check=0;
    for (int i=0;i+1< n;i++){
        if((nums[i]!=1&&nums[i+1]==1)|| (nums[i]==1&&nums[i+1]!=1)){
            check+=1;
        }
    }
    return check<=2;
}",1.0,1111111111
Array_list_10,1298833,2213250,"int sumLessThanTarget(vector<int>& nums, int target) {
    // STUDENT ANSWER
    int ans= INT_MIN;
    for(int i=0;i<nums.size();i++){
        for (int j= i+1;j<nums.size();j++){
            if ((long long)nums[i] + (long long)nums[j] < (long long)target) {
            ans = max(ans, nums[i] + nums[j]);
                }
            }
    } 
    return ans;
}",0.8,111111110
Array_list_11,1298833,2213250,"vector<int> updateArrayPerRange(vector<int>& nums, vector<vector<int>>& operations) {
    // STUDENT ANSWER
    int n = operations.size();
    for (int i=0;i< n;i++){
        for(int j= operations[i][0]; j<= operations[i][1];j++){
            nums[j]+= operations[i][2];
        }
    }
    return nums;
}",1.0,111111
Array_list_1,1315189,2210055,"
int buyCar(int *nums, int length, int k)
{
  for (int i = 0; i < length - 1; i++)
  {
    for (int j = i + 1; j < length; j++)
    {
      if (nums[i] > nums[j])
      {
        int tmp = nums[i];
        nums[i] = nums[j];
        nums[j] = tmp;
      }
    };
  };
  int sum = 0;
  int count = 0;
 
  for (int i = 0; i < length; i++)
  {
    sum += nums[i];
    
    if (sum > k)
    {
      return count;
    }
    count++;
  }
  return count;
}",1.0,1111111111
Array_list_2,1315189,2210055,"bool consecutiveOnes(vector<int> &nums)
{
  // STUDENT ANSWER
  bool metOneNumber = 0;
  bool numberBefore = 0;
  bool result = true;
  int result2;
  if (nums.size() == 0)
    return 1;
  for (int num : nums)
  {
    if (num == 1)
    {
      if (!numberBefore && metOneNumber)
      {
        result = false;
        break;
      }
      metOneNumber = 1;
      numberBefore = 1;
    }
    else
      numberBefore = 0;
  };
  return result;
};",1.0,1111111111
Array_list_3,1315189,2210055,"bool consecutiveOnes(vector<int> &nums)
{
  // STUDENT ANSWER
  bool metOneNumber = 0;
  bool numberBefore = 0;
  bool result = true;
  int result2;
  if (nums.size() == 0)
    return 1;
  for (int num : nums)
  {
    if (num == 1)
    {
      if (!numberBefore && metOneNumber)
      {
        result = false;
        break;
      }
      metOneNumber = 1;
      numberBefore = 1;
    }
    else
      numberBefore = 0;
  };
  return result;
};",1.0,1111111111
Array_list_4,1315189,2210055,"bool consecutiveOnes(vector<int> &nums)
{
  // STUDENT ANSWER
  bool metOneNumber = 0;
  bool numberBefore = 0;
  bool result = true;
  int result2;
  if (nums.size() == 0)
    return 1;
  for (int num : nums)
  {
    if (num == 1)
    {
      if (!numberBefore && metOneNumber)
      {
        result = false;
        break;
      }
      metOneNumber = 1;
      numberBefore = 1;
    }
    else
      numberBefore = 0;
  };
  return result;
};",1.0,1111111111
Array_list_5,1315189,2210055,"
int equalSumIndex(vector<int> &nums)
{
  // STUDENT ANSWER
  int n = nums.size();
    if (n == 0) {
        return -1; // Empty array, no index can satisfy the condition.
    }

    int leftSum = 0;
    int rightSum = 0;

    // Calculate the total sum of the array.
    int totalSum = 0;
    for (int num : nums) {
        totalSum += num;
    }

    for (int i = 0; i < n; i++) {
        // Update rightSum by subtracting the current element.
        rightSum = totalSum - leftSum - nums[i];

        // Check if the left and right sums are equal.
        if (leftSum == rightSum) {
            return i;
        }

        // Update leftSum by adding the current element.
        leftSum += nums[i];
    }

    return -1; //
};",1.0,1111111111
Array_list_10,1315189,2210055,"
int sumLessThanTarget(vector<int> &nums, int target)
{
  int left = 0;
    int right = nums.size() - 1;
    int maxSum = -1;

    while (left < right) {
        int currentSum = nums[left] + nums[right];

        if (currentSum < target) {
            maxSum = std::max(maxSum, currentSum);
            left++;
        } else {
            right--;
        }
    }

    return maxSum;
}",1.0,1111111111
Array_list_1,1325141,2212935,"int buyCar(int* nums, int length, int k) {
    sort(nums, nums+length);
    int  count = 0;
    int tmpk = k;
for (int i = 0; i < length; i++){
    if (tmpk >= nums[i]){
        tmpk -= nums[i];
        count++;
    }
    else break;
}
return count;
}",1.0,1111111111
Array_list_2,1325141,2212935,"bool consecutiveOnes(vector<int>& nums) {
    // STUDENT ANSWER
    bool meet1 = 0;
    bool space = 0;
    for (int i = 0; i < nums.size(); i++){
        if (nums[i] == 1){
            if (space) return 0;
            meet1 = true;
        }
        else {
            if (meet1) space = true;
        }
        
    }
    return 1;
}",1.0,1111111111
Array_list_3,1325141,2212935,"bool consecutiveOnes(vector<int>& nums) {
    // STUDENT ANSWER
    bool meet1 = 0;
    bool space = 0;
    for (int i = 0; i < nums.size(); i++){
        if (nums[i] == 1){
            if (space) return 0;
            meet1 = true;
        }
        else {
            if (meet1) space = true;
        }
        
    }
    return 1;
}",1.0,1111111111
Array_list_4,1325141,2212935,"bool consecutiveOnes(vector<int>& nums) {
    // STUDENT ANSWER
    bool meet1 = 0;
    bool space = 0;
    for (int i = 0; i < nums.size(); i++){
        if (nums[i] == 1){
            if (space) return 0;
            meet1 = true;
        }
        else {
            if (meet1) space = true;
        }
        
    }
    return 1;
}",1.0,1111111111
Array_list_1,1325988,2213250,"int buyCar(int* nums, int length, int k) {
sort(nums, nums + length);
int index=0;
while(index< length && k>0)
{
if(k>= nums[index]) k-=nums[index]; else break;
index++;
}
return index;
}",1.0,1111111111
Array_list_2,1325988,2213250,"bool consecutiveOnes(vector<int>& nums) {
    // STUDENT ANSWER
    int n= nums.size();
    int check=0;
    for (int i=0;i+1< n;i++){
        if((nums[i]!=1&&nums[i+1]==1)|| (nums[i]==1&&nums[i+1]!=1)){
            check+=1;
        }
    }
    return check<=2;
}",1.0,1111111111
Array_list_3,1325988,2213250,"bool consecutiveOnes(vector<int>& nums) {
    // STUDENT ANSWER
    int n= nums.size();
    int check=0;
    for (int i=0;i+1< n;i++){
        if((nums[i]!=1&&nums[i+1]==1)|| (nums[i]==1&&nums[i+1]!=1)){
            check+=1;
        }
    }
    return check<=2;
}",1.0,1111111111
Array_list_4,1325988,2213250,"bool consecutiveOnes(vector<int>& nums) {
    // STUDENT ANSWER
    int n= nums.size();
    int check=0;
    for (int i=0;i+1< n;i++){
        if((nums[i]!=1&&nums[i+1]==1)|| (nums[i]==1&&nums[i+1]!=1)){
            check+=1;
        }
    }
    return check<=2;
}",1.0,1111111111
Array_list_5,1325988,2213250,"int equalSumIndex(vector<int>& nums) {
    // STUDENT ANSWER
  int n = nums.size();
    int totalSum = 0;
    for (int a=0; a<n; a++) {
        totalSum += nums[a];
    }
    int leftSum = 0;
    for (int i = 0; i < n; i++) {
        if (leftSum == (totalSum - leftSum - nums[i])) {
            return i;
        }
        leftSum += nums[i];
    }
    return -1;
}
",1.0,1111111111
Array_list_6,1325988,2213250,"int longestSublist(vector<string>& words) {
    // STUDENT ANSWER
    int length = words.size();
    if(words.size() == 0) return 0;
    int clen = 1;
    int maxlen = 1;
    char fletter= words[0][0];
    for (int i=1; i< length;i++)
    {
        if(words[i][0]== fletter){
            clen++;
        }
        else{
            fletter = words[i][0];
            clen =1;
        }
        if (clen> maxlen){
            maxlen= clen;
        }
    }
    if (clen> maxlen){
        maxlen= clen;
    }
    return maxlen;
}",1.0,1111111
