problem_slug,submission_id,student_code,code,labels,score
Stack_3,1454531,2210997,"int trap(vector<int>& height) {
    int n = height.size();
    if (n <= 2) return 0;  
    vector<int> left_max(n);
    vector<int> right_max(n);
    left_max[0] = height[0];
    for (int i = 1; i < n; i++) left_max[i] = max(left_max[i - 1], height[i]);
    right_max[n - 1] = height[n - 1];
    for (int i = n - 2; i >= 0; i--)  right_max[i] = max(right_max[i + 1], height[i]);
    int trappedWater = 0;
    for (int i = 0; i < n; i++) trappedWater += max(0, min(left_max[i], right_max[i]) - height[i]);
    

    return trappedWater;


}",0,1.0
Stack_3,1454547,2212303,"int findMaxPosition(std::vector<int>& vec) {
    if (vec.empty()) {
        // Handle the case of an empty vector or no maximum element.
        return -1;  // You can return any appropriate value, e.g., -1.
    }

    int max = vec[0];  // Initialize max with the first element.
    int position = 0;  // Initialize the position to 0.

    for (size_t i = 1; i < vec.size(); i++) {
        if (vec[i] > max) {
            // If a greater element is found, update max and position.
            max = vec[i];
            position = i;
        }
    }

    return position;
}

int trap(vector<int>& height) {
    if(height.empty()) return 0;
    int max = findMaxPosition(height);
    //cout<<max<<endl;
    stack<int> waterLv;
    int result = 0;
    int left = 0;
    int leftMax = height[0];
    int right = height.size() - 1;
    int rightMax = height[right];

    while (left < max) {
        if (height[left] > leftMax) {
            //cout<<leftMax<<endl;
            leftMax = height[left];
            while (!waterLv.empty()) {
                result += waterLv.top();
                //cout<<waterLv.top()<<endl;
                waterLv.pop();
            }
        } else {
           
            
            waterLv.push(leftMax - height[left]);
           
        }
        left++;
    }
 

    while (right > max) {
        if (height[right] > rightMax) {
            rightMax = height[right];
            while (!waterLv.empty()) {
                result += waterLv.top();
                waterLv.pop();
            }
        } else {
            waterLv.push(rightMax - height[right]);
        }
        right--;
    }
    while (!waterLv.empty()) {
                result += waterLv.top();
                //cout<<waterLv.top()<<endl;
                waterLv.pop();
    }
    return result;
}",4,0.9
Stack_3,1454553,2211876,"int trap(vector<int>& height) {
//TODO
    int left = 0;   // Con trỏ trái
    int right = height.size() - 1;  // Con trỏ phải
    int leftMax = 0;  // Chiều cao lớn nhất từ bên trái
    int rightMax = 0;  // Chiều cao lớn nhất từ bên phải
    int result = 0;  // Tổng diện tích mặt cắt nước

    while (left < right) {
        if (height[left] < height[right]) {
            if (height[left] > leftMax) {
                leftMax = height[left];
            } else {
                result += leftMax - height[left];
            }
            left++;
        } else {
            if (height[right] > rightMax) {
                rightMax = height[right];
            } else {
                result += rightMax - height[right];
            }
            right--;
        }
    }

    return result;
}",1,1.0
Stack_3,1454572,2210200,"int trap(vector<int>& height) {
//TODO 
    int n = height.size();
    if(n == 0) return 0;
    vector<int> l(n, 0), r(n, 0);
    l[0] = height[0];
    r[n - 1] = height[n - 1];
    for(int i = 1; i < n; i++) l[i] = max(l[i-1], height[i]);
    for(int i = n - 2; i >= 0; i--) r[i] = max(r[i + 1], height[i]);
    int ans = 0;
    for(int i = 0; i < n; i++){
        int val = min(l[i], r[i]);
        if(val >= height[i]){
            ans += val - height[i];
        }
    }
    return ans;
}",0,1.0
Stack_3,1454582,2211170,"int trap(vector<int>& height) {
        if(height.empty()) 
            return 0; 
        int n = height.size();
        int res = 0;
        stack<int> s;   
        for(int i=0; i<n; i++) {
            while(!s.empty() && height[i] > height[s.top()]) {
                int rightIdx = s.top();
                s.pop();
                
                if(s.empty()) 
                    break;
                
                int leftIdx = s.top();
                int length = min(height[i], height[leftIdx]) - height[rightIdx];
                int breadth = i - leftIdx - 1;
                res += length*breadth;
            }
            s.push(i);
        }
        return res;
}",2,1.0
Stack_3,1454585,2210103,"int trap(vector<int>& height) {
        int max_left=0, max_right = 0;
        int left = 0, right = height.size()-1;
        int ans = 0;
        while(left <= right){
            if(height[left] <= height[right]){
                if(height[left] >= max_left){
                    max_left = height[left];
                }
                else{
                    ans += max_left - height[left];
                }
                left ++;
            }
            else{
                if(height[right] >= max_right){
                    max_right = height[right];
                }
                else{
                    ans += max_right - height[right];
                }
                right --;
            }
        }
        return ans;
    }",1,1.0
Stack_3,1454587,2210535,"int trap(vector<int>& height) {
    //TODO
    int n = height.size();
    if (n <= 1) return 0;
    stack <int> st;
    int maxheight = height[0];
    vector<int> ans(n,0);
    for (int i = 0; i < n; i++)
    {
        if (height[i] >= maxheight)
        {
            while (!st.empty() && maxheight >= height[st.top()])
            {
                ans[st.top()] = maxheight - height[st.top()];
                st.pop();
            }
            maxheight = height[i];
        }
        st.push(i);
    }
    maxheight = height[st.top()];
    st.pop();
    while (!st.empty())
    {
        if (height[st.top()] >= maxheight)
        {
            maxheight = height[st.top()];
            st.pop();
        }
        else
        {
            ans[st.top()] = maxheight - height[st.top()];
            st.pop();
        }
    }
    int answer = 0;
    /*for (int i = 0; i < n; i++)
    {
        cout << ans[i] << "" "";
    }
    cout << endl;*/
    for (int i = 0; i < n; i++)
    {
        answer += ans[i];
    }
    return answer;
}",3,1.0
Stack_3,1454594,2210578,"int trap(vector<int>& height) {
    //TODO
    int n = height.size();
    if (n <= 1) return 0;
    stack <int> st;
    int maxheight = height[0];
    vector<int> ans(n,0);
    for (int i = 0; i < n; i++)
    {
        if (height[i] >= maxheight)
        {
            while (!st.empty() && maxheight >= height[st.top()])
            {
                ans[st.top()] = maxheight - height[st.top()];
                st.pop();
            }
            maxheight = height[i];
        }
        st.push(i);
    }
    maxheight = height[st.top()];
    st.pop();
    while (!st.empty())
    {
        if (height[st.top()] >= maxheight)
        {
            maxheight = height[st.top()];
            st.pop();
        }
        else
        {
            ans[st.top()] = maxheight - height[st.top()];
            st.pop();
        }
    }
    int answer = 0;
   
    for (int i = 0; i < n; i++)
    {
        answer += ans[i];
    }
    return answer;
}",3,1.0
Stack_3,1454631,2210458,0,#include <climits>

